t,x,y,theta,v,a_cmd,delta_cmd
1.340000000000000036e+01,1.305486450195312500e+02,6.496305847167968750e+01,-6.654960662126541138e-02,7.478018760681152344e+00,-1.915652052683325612e+00,-4.999999999999999445e-01
1.350000000000000000e+01,1.312933349609375000e+02,6.490957641601562500e+01,-7.169657945632934570e-02,7.466015338897705078e+00,1.499999325166632591e+00,-5.000000000000000000e-01
1.360000000000000142e+01,1.320387268066406250e+02,6.484653472900390625e+01,-8.437425643205642700e-02,7.480478286743164062e+00,-1.772887805011698514e+00,-2.335048883591146207e-01
1.370000000000000107e+01,1.327797088623046875e+02,6.476875305175781250e+01,-1.045840382575988770e-01,7.450560092926025391e+00,1.500000000000000000e+00,-3.110340924320742495e-01
1.380000000000000071e+01,1.335182495117187500e+02,6.467029571533203125e+01,-1.325276494026184082e-01,7.450760841369628906e+00,1.258230603396065073e+00,-1.554287361239658216e-01
1.390000000000000036e+01,1.342565612792968750e+02,6.455660247802734375e+01,-1.527903825044631958e-01,7.470124721527099609e+00,-1.261279913470840119e+00,5.000000000000000000e-01
1.400000000000000000e+01,1.349918212890625000e+02,6.443385314941406250e+01,-1.654232144355773926e-01,7.454352378845214844e+00,-9.127739883619331307e-01,-4.912925834724245489e-01
1.410000000000000142e+01,1.357208404541015625e+02,6.429701232910156250e+01,-1.855443120002746582e-01,7.417565822601318359e+00,2.325438481250362843e-01,1.139253670862850898e-01
1.420000000000000107e+01,1.364450988769531250e+02,6.415165710449218750e+01,-1.980632096529006958e-01,7.386970996856689453e+00,1.492107365375899608e+00,-4.999996105270581581e-01
1.430000000000000071e+01,1.371662597656250000e+02,6.399183273315429688e+01,-2.180989384651184082e-01,7.386525630950927734e+00,-3.379739703614923929e+00,-4.502832213308013629e-03
1.440000000000000036e+01,1.378781890869140625e+02,6.382476806640625000e+01,-2.304924130439758301e-01,7.312666893005371094e+00,1.499999999999941824e+00,2.934391405308999223e-01
1.450000000000000000e+01,1.385858917236328125e+02,6.365494537353515625e+01,-2.355096936225891113e-01,7.277966022491455078e+00,1.499956346567054677e+00,-2.295810677259250976e-01
1.460000000000000142e+01,1.392911071777343750e+02,6.347649383544921875e+01,-2.478378415107727051e-01,7.274493217468261719e+00,-1.174628965259895352e+00,2.017262620311512100e-01
1.470000000000000107e+01,1.399923248291015625e+02,6.329532623291015625e+01,-2.528308033943176270e-01,7.242413997650146484e+00,1.031246500429642499e+00,4.999999999999998890e-01
1.480000000000000071e+01,1.406929016113281250e+02,6.311600494384765625e+01,-2.505810856819152832e-01,7.231684207916259766e+00,1.500000000000000000e+00,5.999497884089749489e-02
1.490000000000000036e+01,1.413962860107421875e+02,6.294139480590820312e+01,-2.433255314826965332e-01,7.247349262237548828e+00,-1.207678495833979904e+00,4.270354298441896845e-01
1.500000000000000000e+01,1.421004333496093750e+02,6.277741622924804688e+01,-2.287963032722473145e-01,7.229879856109619141e+00,-1.986494497437105849e-02,2.561354172926041395e-01
1.510000000000000142e+01,1.428060302734375000e+02,6.262928771972656250e+01,-2.069314122200012207e-01,7.209778785705566406e+00,1.500000000000000000e+00,-5.000000000000000000e-01
1.520000000000000107e+01,1.435145111083984375e+02,6.249124908447265625e+01,-1.924260258674621582e-01,7.217994689941406250e+00,8.344257394483418633e-01,-2.632463363528815270e-01
1.530000000000000071e+01,1.442256927490234375e+02,6.235802459716796875e+01,-1.851823925971984863e-01,7.235455036163330078e+00,4.796039649228835966e-01,-5.660332880549032858e-02
1.540000000000000036e+01,1.449386138916015625e+02,6.222447586059570312e+01,-1.851833462715148926e-01,7.253171443939208984e+00,1.500000000000000000e+00,-4.801586765156998227e-01
1.550000000000000000e+01,1.456542968750000000e+02,6.208499145507812500e+01,-1.924842149019241333e-01,7.291485309600830078e+00,1.500000000000000000e+00,4.999999987822217884e-01
1.560000000000000142e+01,1.463753509521484375e+02,6.194446182250976562e+01,-1.924846768379211426e-01,7.346180438995361328e+00,1.499999999248964544e+00,-4.999999991238999741e-01
1.570000000000000107e+01,1.471019744873046875e+02,6.179723739624023438e+01,-1.999080777168273926e-01,7.413884639739990234e+00,8.715019579881919665e-01,-4.200230774284842428e-02
1.580000000000000071e+01,1.478342285156250000e+02,6.164487457275390625e+01,-2.051470875740051270e-01,7.479330062866210938e+00,-3.999029236735716530e+00,-4.961424188149712311e-01
1.590000000000000036e+01,1.485611877441406250e+02,6.148395538330078125e+01,-2.178485989570617676e-01,7.445513248443603516e+00,6.499703189120944469e-01,2.953289169550428750e-01
1.600000000000000000e+01,1.492853546142578125e+02,6.131969833374023438e+01,-2.230504155158996582e-01,7.425611019134521484e+00,1.499539737667992867e+00,4.999768941460266958e-01
1.610000000000000142e+01,1.500106811523437500e+02,6.115687561035156250e+01,-2.208197712898254395e-01,7.433803081512451172e+00,1.495771559637449233e+00,4.652134583957895919e-01
1.619999999999999929e+01,1.507405395507812500e+02,6.100047302246093750e+01,-2.110970616340637207e-01,7.464298725128173828e+00,-3.963630955151404400e+00,-4.541590977957835618e-01
